model,seed,chunk_id,bin_mhz,site,split,horizon,mae_db,rmse_db
autoformer_csa,40,powder_600_800_t4t6,761.5,unknown,2d_test,1,1.030986189842224,1.500520944595337
autoformer_csa,40,powder_600_800_t4t6,762.5,unknown,2d_test,1,0.9860950112342834,1.4206554889678955
autoformer_csa,40,powder_600_800_t4t6,763.5,unknown,2d_test,1,0.8346186280250549,1.2462371587753296
autoformer_csa,40,powder_600_800_t4t6,764.5,unknown,2d_test,1,0.9818054437637328,1.4462847709655762
autoformer_csa,40,powder_600_800_t4t6,765.5,unknown,2d_test,1,1.007920265197754,1.488916277885437
autoformer_csa,40,powder_600_800_t4t6,766.5,unknown,2d_test,1,0.9937896132469176,1.45330810546875
autoformer_csa,40,powder_600_800_t4t6,767.5,unknown,2d_test,1,1.0436784029006958,1.519023895263672
autoformer_csa,40,powder_600_800_t4t6,768.5,unknown,2d_test,1,0.0256388969719409,0.0969291105866432
autoformer_csa,40,powder_600_800_t4t6,769.5,unknown,2d_test,1,1.3186224699020386,1.6081500053405762
autoformer_csa,40,powder_600_800_t4t6,770.5,unknown,2d_test,1,0.0217129215598106,0.0519604980945587
autoformer_csa,40,powder_600_800_t4t6,771.5,unknown,2d_test,1,6.655938625335693,7.75289249420166
autoformer_csa,40,powder_600_800_t4t6,772.5,unknown,2d_test,1,6.989924907684326,8.259309768676758
autoformer_csa,40,powder_600_800_t4t6,773.5,unknown,2d_test,1,6.696628093719482,7.874821662902832
autoformer_csa,40,powder_600_800_t4t6,774.5,unknown,2d_test,1,6.373179912567139,7.4463210105896
autoformer_csa,40,powder_600_800_t4t6,775.5,unknown,2d_test,1,0.1167912259697914,0.6418097615242004
autoformer_csa,40,powder_600_800_t4t6,776.5,unknown,2d_test,1,0.1108433529734611,0.7988061904907227
autoformer_csa,40,powder_600_800_t4t6,777.5,unknown,2d_test,1,0.1058825924992561,0.6753233075141907
autoformer_csa,40,powder_600_800_t4t6,778.5,unknown,2d_test,1,0.0783769339323043,0.3259512484073639
autoformer_csa,40,powder_600_800_t4t6,779.5,unknown,2d_test,1,0.0714848041534423,0.3284805119037628
autoformer_csa,40,powder_600_800_t4t6,780.5,unknown,2d_test,1,0.0741640254855156,0.3465182483196258
autoformer_csa,40,powder_600_800_t4t6,781.5,unknown,2d_test,1,0.0818925872445106,0.3591772317886352
autoformer_csa,40,powder_600_800_t4t6,782.5,unknown,2d_test,1,0.0740138366818428,0.3404281139373779
autoformer_csa,40,powder_600_800_t4t6,783.5,unknown,2d_test,1,0.0685561522841453,0.3066658079624176
autoformer_csa,40,powder_600_800_t4t6,784.5,unknown,2d_test,1,0.0735968500375747,0.3237115442752838
autoformer_csa,40,powder_600_800_t4t6,785.5,unknown,2d_test,1,0.0738493800163269,0.3081724941730499
autoformer_csa,40,powder_600_800_t4t6,786.5,unknown,2d_test,1,0.0281324200332164,0.0941684395074844
autoformer_csa,40,powder_600_800_t4t6,787.5,unknown,2d_test,1,0.0177582912147045,0.0521761402487754
autoformer_csa,40,powder_600_800_t4t6,788.5,unknown,2d_test,1,0.0176358297467231,0.0676583275198936
autoformer_csa,40,powder_600_800_t4t6,789.5,unknown,2d_test,1,0.1675591021776199,0.8711992502212524
autoformer_csa,40,powder_600_800_t4t6,790.5,unknown,2d_test,1,0.1680951714515686,0.7830209732055664
autoformer_csa,40,powder_600_800_t4t6,791.5,unknown,2d_test,1,0.1658298522233963,0.7430530786514282
autoformer_csa,40,powder_600_800_t4t6,792.5,unknown,2d_test,1,0.1576063632965088,0.6843366622924805
autoformer_csa,40,powder_600_800_t4t6,793.5,unknown,2d_test,1,0.1506090611219406,0.8277550935745239
autoformer_csa,40,powder_600_800_t4t6,794.5,unknown,2d_test,1,0.1423138976097107,0.8589922189712524
autoformer_csa,40,powder_600_800_t4t6,795.5,unknown,2d_test,1,0.0301121231168508,0.1539978384971618
autoformer_csa,40,powder_600_800_t4t6,796.5,unknown,2d_test,1,0.0331725142896175,0.1569148451089859
autoformer_csa,40,powder_600_800_t4t6,797.5,unknown,2d_test,1,0.014940433204174,0.0402599051594734
autoformer_csa,40,powder_600_800_t4t6,798.5,unknown,2d_test,1,0.0144521202892065,0.0291191861033439
autoformer_csa,40,powder_600_800_t4t6,799.5,unknown,2d_test,1,0.1777452677488327,1.0652711391448977
autoformer_csa,40,powder_600_800_t4t6,600.5,unknown,2d_test,15,0.4596142172813415,0.6899779438972473
autoformer_csa,40,powder_600_800_t4t6,601.5,unknown,2d_test,15,0.4645863473415375,0.7124384641647339
autoformer_csa,40,powder_600_800_t4t6,602.5,unknown,2d_test,15,0.5255833864212036,0.8349590301513672
autoformer_csa,40,powder_600_800_t4t6,603.5,unknown,2d_test,15,0.4150924682617187,0.644133985042572
