model_name,seed,condition,band_id,start_mhz,end_mhz,objective,objective_name,test_mean_horizon_mae_db,test_mean_horizon_rmse_db,test_mae_db_t1,test_rmse_db_t1,test_mae_db_t15,test_rmse_db_t15,test_mae_db_t60,test_rmse_db_t60,test_n_values_t1,test_n_values_t15,test_n_values_t60
residuallinearar2d,41,region_only,R12,746.5,755.5,1.3700825342368776,val_mean_horizon_mae_db,1.3693783642020196,1.9858847571062004,1.2693580885643352,1.8654703404701278,1.3704786121371737,1.9886190192775892,1.4682983919045494,2.1035649115708837,217770,217770,217770
residuallinearar2d,42,region_only,R12,746.5,755.5,1.368598057165089,val_mean_horizon_mae_db,1.3666624926237627,1.987777880531592,1.2683204249036801,1.8663646781583894,1.367978078552518,1.990711207470589,1.4636889744150894,2.1062577559657982,217770,217770,217770
residuallinearar2d,43,region_only,R12,746.5,755.5,1.3733390381362482,val_mean_horizon_mae_db,1.3742152167089887,1.9879077147915147,1.2715895878785284,1.8662745260120428,1.3740804157326272,1.9907997460463733,1.4769756465158104,2.1066488723161276,217770,217770,217770
residuallinearar2d,44,region_only,R12,746.5,755.5,1.3731152571624339,val_mean_horizon_mae_db,1.3746499270694768,1.989728292170705,1.2722640791516082,1.868371852030697,1.3753839141317388,1.9939516495217888,1.476301787925083,2.106861374959629,217770,217770,217770
residuallinearar2d,40,full_context,R13,756.5,768.5,0.8746565031922163,val_mean_horizon_mae_db,0.8081386466175443,1.3188242332867794,0.748329540508718,1.2380359000821977,0.7932190645916767,1.3016743656183363,0.8828673347522381,1.4167624341598046,283101,283101,283101
residuallinearar2d,41,full_context,R13,756.5,768.5,0.8743961144699344,val_mean_horizon_mae_db,0.8093020605671496,1.318424968845443,0.7487153438292544,1.237684732226282,0.7946609354023039,1.301552701874699,0.8845299024698903,1.4160374724353477,283101,283101,283101
residuallinearar2d,42,full_context,R13,756.5,768.5,0.8739123119480444,val_mean_horizon_mae_db,0.807954575346137,1.318510270815293,0.7483856069012148,1.238012644576354,0.7927350109976641,1.3009999925225386,0.882743108139532,1.4165181753469862,283101,283101,283101
residuallinearar2d,43,full_context,R13,756.5,768.5,0.8773418152228257,val_mean_horizon_mae_db,0.8118690499535101,1.318390712828027,0.7498617102880262,1.2377588233714476,0.796643787339715,1.3017544918819262,0.8891016522327893,1.4156588232307072,283101,283101,283101
residuallinearar2d,44,full_context,R13,756.5,768.5,0.8739909941238273,val_mean_horizon_mae_db,0.8090014533694255,1.3172431751760871,0.7484662824912338,1.2366953547605373,0.7935630796480337,1.2996856827077263,0.884974997969009,1.415348488059998,283101,283101,283101
residuallinearar2d,40,region_only,R13,756.5,768.5,0.8746565031922163,val_mean_horizon_mae_db,0.8081386466175443,1.3188242332867794,0.748329540508718,1.2380359000821977,0.7932190645916767,1.3016743656183363,0.8828673347522381,1.4167624341598046,283101,283101,283101
residuallinearar2d,41,region_only,R13,756.5,768.5,0.8743961144699344,val_mean_horizon_mae_db,0.8093020605671496,1.318424968845443,0.7487153438292544,1.237684732226282,0.7946609354023039,1.301552701874699,0.8845299024698903,1.4160374724353477,283101,283101,283101
residuallinearar2d,42,region_only,R13,756.5,768.5,0.8739123119480444,val_mean_horizon_mae_db,0.807954575346137,1.318510270815293,0.7483856069012148,1.238012644576354,0.7927350109976641,1.3009999925225386,0.882743108139532,1.4165181753469862,283101,283101,283101
residuallinearar2d,43,region_only,R13,756.5,768.5,0.8773418152228257,val_mean_horizon_mae_db,0.8118690499535101,1.318390712828027,0.7498617102880262,1.2377588233714476,0.796643787339715,1.3017544918819262,0.8891016522327893,1.4156588232307072,283101,283101,283101
